Experiment, Ambient, Above, Below, datetime, time_since_start, Done
swatch_2_llama_g_u,25.70,25.64,25.57,2021-10-12-08:06:39,0.00,False 
swatch_2_llama_g_u,25.70,25.64,25.57,2021-10-12-08:06:44,5.66,False 
swatch_2_llama_g_u,25.70,25.64,25.57,2021-10-12-08:06:50,11.27,False 
swatch_2_llama_g_u,25.70,25.64,25.57,2021-10-12-08:06:56,16.95,False 
swatch_2_llama_g_u,25.70,25.64,25.57,2021-10-12-08:07:01,22.63,False 
swatch_2_llama_g_u,25.70,25.64,25.57,2021-10-12-08:07:07,28.31,False 
swatch_2_llama_g_u,25.70,25.64,25.57,2021-10-12-08:07:13,33.99,False 
swatch_2_llama_g_u,25.70,25.64,25.57,2021-10-12-08:07:18,39.67,False 
swatch_2_llama_g_u,25.70,25.64,25.57,2021-10-12-08:07:24,45.35,False 
swatch_2_llama_g_u,25.70,25.64,25.57,2021-10-12-08:07:30,51.03,False 
swatch_2_llama_g_u,25.70,25.64,25.57,2021-10-12-08:07:35,56.70,False 
swatch_2_llama_g_u,25.70,25.64,25.57,2021-10-12-08:07:41,62.31,False 
swatch_2_llama_g_u,25.70,25.64,25.57,2021-10-12-08:07:47,67.99,False 
swatch_2_llama_g_u,25.70,25.64,25.57,2021-10-12-08:07:52,73.67,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:07:58,79.35,False 
swatch_2_llama_g_u,25.70,25.64,25.57,2021-10-12-08:08:04,85.03,False 
swatch_2_llama_g_u,25.70,25.64,25.57,2021-10-12-08:08:09,90.71,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:08:15,96.39,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:08:21,102.07,False 
swatch_2_llama_g_u,25.64,25.57,25.57,2021-10-12-08:08:26,107.75,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:08:32,113.50,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:08:38,119.11,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:08:44,124.79,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:08:49,130.46,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:08:55,136.07,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:09:00,141.75,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:09:06,147.46,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:09:12,153.11,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:09:18,158.79,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:09:23,164.46,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:09:29,170.07,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:09:35,175.83,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:09:40,181.51,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:09:46,187.19,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:09:52,192.87,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:09:57,198.54,False 
swatch_2_llama_g_u,25.64,25.57,25.57,2021-10-12-08:10:03,204.15,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:10:09,209.83,False 
swatch_2_llama_g_u,25.57,25.57,25.57,2021-10-12-08:10:14,215.51,False 
swatch_2_llama_g_u,25.64,25.57,25.57,2021-10-12-08:10:20,221.19,False 
swatch_2_llama_g_u,25.57,25.64,25.57,2021-10-12-08:10:26,226.91,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:10:31,232.55,False 
swatch_2_llama_g_u,25.57,25.64,25.57,2021-10-12-08:10:37,238.23,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:10:43,243.91,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:10:48,249.59,False 
swatch_2_llama_g_u,25.57,25.57,25.57,2021-10-12-08:10:54,255.27,False 
swatch_2_llama_g_u,25.57,25.64,25.57,2021-10-12-08:11:00,260.95,False 
swatch_2_llama_g_u,25.57,25.64,25.57,2021-10-12-08:11:05,266.63,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:11:11,272.31,False 
swatch_2_llama_g_u,25.57,25.64,25.57,2021-10-12-08:11:17,277.99,False 
swatch_2_llama_g_u,25.57,25.57,25.57,2021-10-12-08:11:22,283.66,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:11:28,289.34,False 
swatch_2_llama_g_u,25.64,25.64,25.57,2021-10-12-08:11:34,294.95,False 
swatch_2_llama_g_u,25.57,25.64,25.57,2021-10-12-08:11:39,300.62,False 
swatch_2_llama_g_u,25.57,25.57,25.57,2021-10-12-08:11:45,306.23,False 
swatch_2_llama_g_u,25.57,25.64,25.57,2021-10-12-08:11:51,311.91,False 
swatch_2_llama_g_u,25.57,25.64,25.57,2021-10-12-08:11:56,317.58,False 
swatch_2_llama_g_u,25.57,25.64,25.57,2021-10-12-08:12:02,323.18,False 
swatch_2_llama_g_u,25.57,25.64,25.57,2021-10-12-08:12:08,328.79,False 
swatch_2_llama_g_u,25.57,25.64,25.57,2021-10-12-08:12:13,334.47,False 
swatch_2_llama_g_u,25.57,25.64,25.57,2021-10-12-08:12:19,340.15,False 
swatch_2_llama_g_u,25.57,25.64,25.57,2021-10-12-08:12:25,345.83,False 
swatch_2_llama_g_u,25.57,25.64,25.57,2021-10-12-08:12:30,351.50,False 
swatch_2_llama_g_u,25.57,25.64,25.57,2021-10-12-08:12:36,357.10,False 
swatch_2_llama_g_u,25.57,25.64,25.57,2021-10-12-08:12:41,362.71,False 
swatch_2_llama_g_u,25.57,25.57,25.57,2021-10-12-08:12:47,368.39,False 
swatch_2_llama_g_u,25.57,25.64,25.57,2021-10-12-08:12:53,374.07,False 
swatch_2_llama_g_u,25.57,25.64,25.57,2021-10-12-08:12:58,379.75,False 
swatch_2_llama_g_u,25.57,25.64,25.57,2021-10-12-08:13:04,385.46,False 
swatch_2_llama_g_u,25.57,25.64,25.57,2021-10-12-08:13:10,391.11,False 
